style_code,file,origin_tool,ifc_schema,bakedness_class,parametric_integrity_score,geometry,has_lining_props,has_panel_props,predefined_type,partitioning,n_panels_geom,overall_w_mm,overall_h_mm,renders,classify_roundtrip,source,license_note
WIN-AWNING-SINGLE,WIN-AWNING-SINGLE.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,SINGLE_PANEL,1,1000.0,700.0,yes (24v/44f),OK,authored,FormX-authored golden target
WIN-CASEMENT-DBL_V,WIN-CASEMENT-DBL_V.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,DOUBLE_PANEL_VERTICAL,2,1400.0,1400.0,yes (40v/68f),OK,authored,FormX-authored golden target
WIN-CASEMENT-SINGLE,WIN-CASEMENT-SINGLE.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,SINGLE_PANEL,1,700.0,1400.0,yes (24v/44f),OK,authored,FormX-authored golden target
WIN-DOUBLEHUNG-DBL_H,WIN-DOUBLEHUNG-DBL_H.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,DOUBLE_PANEL_HORIZONTAL,2,900.0,1600.0,yes (40v/68f),OK,authored,FormX-authored golden target
WIN-FIXED-SINGLE,WIN-FIXED-SINGLE.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,SINGLE_PANEL,1,1200.0,1500.0,yes (24v/44f),OK,authored,FormX-authored golden target
WIN-HOPPER-SINGLE,WIN-HOPPER-SINGLE.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,SINGLE_PANEL,1,1000.0,700.0,yes (24v/44f),OK,authored,FormX-authored golden target
WIN-PIVOTH-SINGLE,WIN-PIVOTH-SINGLE.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,SINGLE_PANEL,1,1200.0,1200.0,yes (24v/44f),OK,authored,FormX-authored golden target
WIN-PIVOTV-SINGLE,WIN-PIVOTV-SINGLE.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,SINGLE_PANEL,1,1200.0,1200.0,yes (24v/44f),OK,authored,FormX-authored golden target
WIN-SINGLEHUNG-DBL_H,WIN-SINGLEHUNG-DBL_H.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,DOUBLE_PANEL_HORIZONTAL,2,900.0,1600.0,yes (40v/68f),OK,authored,FormX-authored golden target
WIN-SKYLIGHT-SINGLE,WIN-SKYLIGHT-SINGLE.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,SKYLIGHT,SINGLE_PANEL,1,1000.0,1000.0,yes (24v/44f),OK,authored,FormX-authored golden target
WIN-SLIDER-DBL_V,WIN-SLIDER-DBL_V.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,DOUBLE_PANEL_VERTICAL,2,1800.0,1200.0,yes (40v/68f),OK,authored,FormX-authored golden target
WIN-TILTTURN-SINGLE,WIN-TILTTURN-SINGLE.ifc,FormX Golden Target Authoring,IFC4,PARAMETRIC,100,parametric_swept,True,True,WINDOW,SINGLE_PANEL,1,800.0,1400.0,yes (24v/44f),OK,authored,FormX-authored golden target
